==========================================================================================
MULTI-TIMEFRAME RESEARCH RESULTS - KuCoin Spot
Test Period: 90 days | Pairs: 36 | Max Hold: 72 bars
Generated: 2026-04-24 09:48:21
==========================================================================================

------------------------------------------------------------------------------------------
PER-PAIR RESULTS
------------------------------------------------------------------------------------------

BTC/USDT:
  B/stop_2 tp_5: count=9, WR=11.1%, Exp=-0.741, AvgHold=26.3bars, TP%=11.1%
  B/stop_2 tp_5_wBias: count=9, WR=11.1%, Exp=-0.741, AvgHold=26.3bars, TP%=11.1%
  B/stop_2 tp_7: count=9, WR=11.1%, Exp=-0.519, AvgHold=26.4bars, TP%=11.1%
  B/stop_2 tp_7_wBias: count=9, WR=11.1%, Exp=-0.519, AvgHold=26.4bars, TP%=11.1%
  B/stop_atr tp_3: count=9, WR=22.2%, Exp=-0.088, AvgHold=12.8bars, TP%=22.2%
  B/stop_atr tp_3_wBias: count=9, WR=22.2%, Exp=-0.088, AvgHold=12.8bars, TP%=22.2%
  B/stop_atr tp_5: count=9, WR=11.1%, Exp=0.06, AvgHold=20.2bars, TP%=11.1%
  B/stop_atr tp_5_wBias: count=9, WR=11.1%, Exp=0.06, AvgHold=20.2bars, TP%=11.1%
  B/stop_atr tp_7: count=9, WR=11.1%, Exp=0.282, AvgHold=20.3bars, TP%=11.1%
  B/stop_atr tp_7_wBias: count=9, WR=11.1%, Exp=0.282, AvgHold=20.3bars, TP%=11.1%
  C/stop_2 tp_3: count=13, WR=69.2%, Exp=1.462, AvgHold=34.2bars, TP%=69.2%
  C/stop_2 tp_3_wBias: count=13, WR=69.2%, Exp=1.462, AvgHold=34.2bars, TP%=69.2%
  C/stop_2 tp_5: count=13, WR=0.0%, Exp=0.05, AvgHold=47.7bars, TP%=0.0%
  C/stop_2 tp_5_wBias: count=13, WR=0.0%, Exp=0.05, AvgHold=47.7bars, TP%=0.0%
  C/stop_2 tp_7: count=13, WR=0.0%, Exp=0.05, AvgHold=47.7bars, TP%=0.0%
  C/stop_2 tp_7_wBias: count=13, WR=0.0%, Exp=0.05, AvgHold=47.7bars, TP%=0.0%
  C/stop_atr tp_3: count=13, WR=69.2%, Exp=1.684, AvgHold=31.3bars, TP%=69.2%
  C/stop_atr tp_3_wBias: count=13, WR=69.2%, Exp=1.684, AvgHold=31.3bars, TP%=69.2%
